"","Year","Gaged","Natural"
"1",1895,13656.1983471074,36702.2657851239
"2",1896,78269.7520661157,106866.123768595
"3",1897,145503.47107438,179875.219239669
"4",1898,78380.826446281,106986.739438017
"5",1899,143188.760330579,177361.674842976
"6",1900,124792.066115702,157384.704595041
"7",1901,94278.347107438,124249.857123967
"8",1902,56052.8925619835,82740.8360330579
"9",1903,NA,NA
"10",1904,NA,NA
"11",1905,123344.132231405,155812.393190083
"12",1906,117361.983471074,149316.377851239
"13",1907,154458.842975207,189599.857586777
"14",1908,64006.6115702479,91377.7795041322
"15",1909,132645.619834711,165912.878578513
"16",1910,50076.694214876,76251.2822479339
"17",1911,72563.305785124,100669.493752066
"18",1912,120398.67768595,152613.924099173
"19",1913,76563.9669421488,105013.811702479
"20",1914,146822.479338843,181307.53031405
"21",1915,114487.933884298,146195.447404959
"22",1916,93036.694214876,122901.546247934
"23",1917,124682.975206612,157266.24277686
"24",1918,104294.876033058,135126.805884298
"25",1919,62786.7768595041,90053.1609917355
"26",1920,106373.553719008,137384.041983471
"27",1921,144642.644628099,178940.447801653
"28",1922,56816.5289256198,83570.0687603306
"29",1923,153909.421487603,189003.240793388
"30",1924,125125.289256198,157746.551603305
"31",1925,57258.8429752066,84050.3775867769
"32",1926,132924.297520661,166215.494677686
"33",1927,87395.7024793388,116775.993322314
"34",1928,101107.438016529,131665.566942149
"35",1929,88821.8181818182,118324.612363636
"36",1930,73725.6198347107,101931.650578512
"37",1931,61291.2396694215,88429.1571570248
"38",1932,67378.5123966942,95039.3266115702
"39",1933,99681.3223140496,130116.947900826
"40",1934,56080.6611570248,82770.9899504132
"41",1935,90798.1487603306,120470.709738843
"42",1936,108394.909090909,139579.031781818
"43",1937,73559.4049586777,101751.157844628
"44",1938,115465.785123967,147257.296066116
"45",1939,60908.6280991736,88013.6792528926
"46",1940,55568.7272727273,82215.0809454546
"47",1941,87654.347107438,117056.855523967
"48",1942,131603.504132231,164781.24513719
"49",1943,96976.0661157025,127179.310195041
"50",1944,82128,111055.7952
"51",1945,91879.1404958678,121644.558664463
"52",1946,60422.6776859504,87485.9856991735
"53",1947,134664.595041322,168105.283755372
"54",1948,69373.2892561983,97205.4548033057
"55",1949,123634.909090909,156128.147781818
"56",1950,64244.826446281,90694
"57",1951,114195.173553719,146893
"58",1952,126568.462809917,155956
"59",1953,65124.2975206612,92631
"60",1954,33626.9752066116,50159
"61",1955,48290.5785123967,72362
"62",1956,63325.0909090909,81751
"63",1957,162084.892561983,186659
"64",1958,86174.0826446281,104350
"65",1959,79512.1983471074,109542
"66",1960,70836.694214876,98423
"67",1961,105292.561983471,128129
"68",1962,68810.7768595041,87655
"69",1963,59142.7438016529,80636
"70",1964,48060.4958677686,66100
"71",1965,115411.239669421,139277
"72",1966,36834.6446280992,54837
"73",1967,80678.0826446281,105513
"74",1968,64779.9669421488,87466
"75",1969,138121.58677686,176038
"76",1970,95261.1570247934,125580
"77",1971,101781.818181818,133536
"78",1972,64775.2066115702,94514
"79",1973,102468.099173554,132203
"80",1974,70583.8016528926,100168
"81",1975,89967.4710743802,121000
"82",1976,54391.5371900826,81623
"83",1977,40101.8181818182,64023
"84",1978,101590.611570248,133230
"85",1979,120095.20661157,154206
"86",1980,145313.652892562,178824
"87",1981,41552.3305785124,64145
"88",1982,89841.7190082645,126776
"89",1983,144055.537190083,176515
"90",1984,129980.826446281,174671
"91",1985,75919.3388429752,107155
"92",1986,104965.289256198,143784
"93",1987,75611.9008264463,103297
"94",1988,60319.7355371901,97519
"95",1989,56179.8347107438,92790
"96",1990,87149.7520661157,126911
"97",1991,81129.1239669421,120178
"98",1992,67475.7024793388,94891
"99",1993,86586.4462809917,118834
"100",1994,65900.826446281,93891
"101",1995,156271.73553719,189492
"102",1996,106563.966942149,141562
"103",1997,139447.933884298,169752
"104",1998,102309.421487603,128419
"105",1999,116213.553719008,147073
"106",2000,63776.5289256198,97996
"107",2001,52710.347107438,84163
"108",2002,23518.9289256198,47348
"109",2003,102094.611570248,128537
"110",2004,78920.132231405,105346
"111",2005,86917.6859504132,115218
"112",2006,61491.5702479339,95202
"113",2007,71813.7520661157,99494
"114",2008,67646.2809917355,100228
"115",2009,82284.2975206612,115157
"116",2010,93526.6115702479,127334
"117",2011,124968.595041322,161968
"118",2012,42042.2479338843,66639
"119",2013,NA,NA
"120",2014,128947.438016529,161897.022942149
"121",2015,138380.826446281,172140.739438017
"122",2016,81116.0330578512,109956.900297521
"123",2017,108154.710743802,139318.200396695
"124",2018,56821.2892561983,83575.2380033057
"125",2019,91418.1818181818,121144.003636364
"126",2020,63256.6611570248,90563.4083504132
"127",2021,85249.3884297521,114445.310895868
"128",2022,61763.305785124,88941.7737520662
"129",2023,87249.9173553719,116617.685256198
"130",2024,84430.6115702479,113556.201104132
"131",2025,55903.2198347107,82578.3064185124
"132",2026,30245.5537190083,54716.6467834711
