"","Year","af"
"1",1895,13656.1983471074
"2",1896,78269.7520661157
"3",1897,145503.47107438
"4",1898,78380.826446281
"5",1899,143188.760330579
"6",1900,124792.066115702
"7",1901,94278.347107438
"8",1902,56052.8925619835
"9",1903,NA
"10",1904,NA
"11",1905,123344.132231405
"12",1906,117361.983471074
"13",1907,154458.842975207
"14",1908,64006.6115702479
"15",1909,132645.619834711
"16",1910,50076.694214876
"17",1911,72563.305785124
"18",1912,120398.67768595
"19",1913,76563.9669421488
"20",1914,146822.479338843
"21",1915,114487.933884298
"22",1916,93036.694214876
"23",1917,124682.975206612
"24",1918,104294.876033058
"25",1919,62786.7768595041
"26",1920,106373.553719008
"27",1921,144642.644628099
"28",1922,56816.5289256198
"29",1923,153909.421487603
"30",1924,125125.289256198
"31",1925,57258.8429752066
"32",1926,132924.297520661
"33",1927,87395.7024793388
"34",1928,101107.438016529
"35",1929,88821.8181818182
"36",1930,73725.6198347107
"37",1931,61291.2396694215
"38",1932,67378.5123966942
"39",1933,99681.3223140496
"40",1934,56080.6611570248
"41",1935,90798.1487603306
"42",1936,108394.909090909
"43",1937,73559.4049586777
"44",1938,115465.785123967
"45",1939,60908.6280991736
"46",1940,55568.7272727273
"47",1941,87654.347107438
"48",1942,131603.504132231
"49",1943,96976.0661157025
"50",1944,82128
"51",1945,91879.1404958678
"52",1946,60422.6776859504
"53",1947,134664.595041322
"54",1948,69373.2892561983
"55",1949,123634.909090909
"56",1950,64244.826446281
"57",1951,114195.173553719
"58",1952,126568.462809917
"59",1953,65124.2975206612
"60",1954,33626.9752066116
"61",1955,48290.5785123967
"62",1956,63325.0909090909
"63",1957,162084.892561983
"64",1958,86174.0826446281
"65",1959,79512.1983471074
"66",1960,70836.694214876
"67",1961,105292.561983471
"68",1962,68810.7768595041
"69",1963,59142.7438016529
"70",1964,48060.4958677686
"71",1965,115411.239669421
"72",1966,36834.6446280992
"73",1967,80678.0826446281
"74",1968,64779.9669421488
"75",1969,138121.58677686
"76",1970,95261.1570247934
"77",1971,101781.818181818
"78",1972,64775.2066115702
"79",1973,102468.099173554
"80",1974,70583.8016528926
"81",1975,89967.4710743802
"82",1976,54391.5371900826
"83",1977,40101.8181818182
"84",1978,101590.611570248
"85",1979,120095.20661157
"86",1980,145313.652892562
"87",1981,41552.3305785124
"88",1982,89841.7190082645
"89",1983,144055.537190083
"90",1984,129980.826446281
"91",1985,75919.3388429752
"92",1986,104965.289256198
"93",1987,75611.9008264463
"94",1988,60319.7355371901
"95",1989,56179.8347107438
"96",1990,87149.7520661157
"97",1991,81129.1239669421
"98",1992,67475.7024793388
"99",1993,86586.4462809917
"100",1994,65900.826446281
"101",1995,156271.73553719
"102",1996,106563.966942149
"103",1997,139447.933884298
"104",1998,102309.421487603
"105",1999,116213.553719008
"106",2000,63776.5289256198
"107",2001,52710.347107438
"108",2002,23518.9289256198
"109",2003,102094.611570248
"110",2004,78920.132231405
"111",2005,86917.6859504132
"112",2006,61491.5702479339
"113",2007,71813.7520661157
"114",2008,67646.2809917355
"115",2009,82284.2975206612
"116",2010,93526.6115702479
"117",2011,124968.595041322
"118",2012,42042.2479338843
"119",2013,NA
"120",2014,128947.438016529
"121",2015,138380.826446281
"122",2016,81116.0330578512
"123",2017,108154.710743802
"124",2018,56821.2892561983
"125",2019,91418.1818181818
"126",2020,63256.6611570248
"127",2021,85249.3884297521
"128",2022,61763.305785124
"129",2023,87249.9173553719
"130",2024,84430.6115702479
"131",2025,55903.2198347107
"132",2026,30245.5537190083
