Elevation,Storage
7358,0
7358.5,938.13
7359,1882.5
7359.5,2833.13
7360,3790
7360.5,4753.13
7361,5722.5
7361.5,6698.13
7362,7680
7362.5,8668.13
7363,9662.5
7363.5,10663.13
7364,11670
7364.5,12683.13
7365,13702.5
7365.5,14728.13
7366,15760
7366.5,16798.13
7367,17842.5
7367.5,18893.13
7368,19950
7368.5,21013.13
7369,22082.5
7369.5,23158.13
7370,24240
7370.5,25328.25
7371,26423
7371.5,27524.25
7372,28632
7372.5,29746.25
7373,30867
7373.5,31994.25
7374,33128
7374.5,34268.25
7375,35415
7375.5,36568.25
7376,37728
7376.5,38894.25
7377,40067
7377.5,41246.25
7378,42432
7378.5,43624.25
7379,44823
7379.5,46028.25
7380,47240
7380.5,48458.38
7381,49683.5
7381.5,50915.38
7382,52154
7382.5,53399.38
7383,54651.5
7383.5,55910.38
7384,57176
7384.5,58448.38
7385,59727.5
7385.5,61013.38
7386,62306
7386.5,63605.38
7387,64911.5
7387.5,66224.38
7388,67544
7388.5,68870.38
7389,70203.5
7389.5,71543.38
7390,72890
7390.5,74243.75
7391,75605
7391.5,76973.75
7392,78350
7392.5,79733.75
7393,81125
7393.5,82524.29
7394,83932.14
7394.5,85348.57
7395,86773.57
7395.5,88207.14
7396,89649.29
7396.5,91100
7397,92559.29
7397.5,94027.14
7398,95503.57
7398.5,96988.57
7399,98482.14
7399.5,99984.29
7400,101495
7400.5,103015
7401,104545
7401.5,106085
7402,107635
7402.5,109195
7403,110765
7403.5,112345
7404,113935
7404.5,115535
7405,117145
7405.5,118765
7406,120395
7406.5,122035
7407,123685
7407.5,125345
7408,127015
7408.5,128695
7409,130385
7409.5,132085
7410,133795
7410.5,135516
7411,137249
7411.5,138994
7412,140751
7412.5,142520
7413,144301
7413.5,146094
7414,147899
7414.5,149716
7415,151545
7415.5,153386
7416,155239
7416.5,157104
7417,158981
7417.5,160870
7418,162771
7418.5,164684
7419,166609
7419.5,168546
7420,170495
7420.5,172456.75
7421,174432
7421.5,176420.75
7422,178423
7422.5,180438.75
7423,182468
7423.5,184510.75
7424,186567
7424.5,188636.75
7425,190720
7425.5,192816.75
7426,194927
7426.5,197050.75
7427,199188
7427.5,201338.75
7428,203503
7428.5,205680.75
7429,207872
7429.5,210076.75
7430,212295
7430.5,214527
7431,216773
7431.5,219033
7432,221307
7432.5,223595
7433,225897
7433.5,228213
7434,230543
7434.5,232887
7435,235245
7435.5,237617
7436,240003
7436.5,242403
7437,244817
7437.5,247245
7438,249687
7438.5,252143
7439,254613
7439.5,257097
7440,259595
7440.5,262107.13
7441,264633.5
7441.5,267174.13
7442,269729
7442.5,272298.13
7443,274881.5
7443.5,277479.13
7444,280091
7444.5,282717.13
7445,285357.5
7445.5,288012.13
7446,290681
7446.5,293364.13
7447,296061.5
7447.5,298773.13
7448,301499
7448.5,304239.13
7449,306993.5
7449.5,309762.13
7450,312545
7450.5,315342.25
7451,318154
7451.5,320980.25
7452,323821
7452.5,326676.25
7453,329546
7453.5,332430.25
7454,335329
7454.5,338242.25
7455,341170
7455.5,344112.25
7456,347069
7456.5,350040.25
7457,353026
7457.5,356026.25
7458,359041
7458.5,362070.25
7459,365114
7459.5,368172.25
7460,371245
7460.5,374332.38
7461,377434.5
7461.5,380551.38
7462,383683
7462.5,386829.38
7463,389990.5
7463.5,393166.38
7464,396357
7464.5,399562.38
7465,402782.5
7465.5,406017.38
7466,409267
7466.5,412531.38
7467,415810.5
7467.5,419104.38
7468,422413
7468.5,425736.38
7469,429074.5
7469.5,432427.38
7470,435795
7470.5,439176.75
7471,442572
7471.5,445980.75
7472,449403
7472.5,452838.75
7473,456288
7473.5,459750.75
7474,463227
7474.5,466716.75
7475,470220
7475.5,473736.75
7476,477267
7476.5,480810.75
7477,484368
7477.5,487938.75
7478,491523
7478.5,495120.75
7479,498732
7479.5,502356.75
7480,505995
7480.5,509646.13
7481,513309.5
7481.5,516985.13
7482,520673
7482.5,524373.13
7483,528085.5
7483.5,531810.13
7484,535547
7484.5,539296.13
7485,543057.5
7485.5,546831.13
7486,550617
7486.5,554415.13
7487,558225.5
7487.5,562048.13
7488,565883
7488.5,569730.13
7489,573589.5
7489.5,577461.13
7490,581345
7490.5,585240.5
7491,589147
7491.5,593064.5
7492,596993
7492.5,600932.5
7493,604883
7493.5,608844.5
7494,612817
7494.5,616800.5
7495,620795
7495.5,624800.5
7496,628817
7496.5,632844.5
7497,636883
7497.5,640932.5
7498,644993
7498.5,649064.5
7499,653147
7499.5,657240.5
7500,661345
7500.5,665460.75
7501,669588
7501.5,673726.75
7502,677877
7502.5,682038.75
7503,686212
7503.5,690396.75
7504,694593
7504.5,698800.75
7505,703020
7505.5,707250.75
7506,711493
7506.5,715746.75
7507,720012
7507.5,724288.75
7508,728577
7508.5,732876.75
7509,737188
7509.5,741510.75
7510,745845
7510.5,750191.65
7511,754551.6
7511.5,758924.84
7512,763311.38
7512.5,767711.22
7513,772124.36
7513.5,776550.8
7514,780990.53
7514.5,785443.56
7515,789909.89
7515.5,794389.52
7516,798882.45
7516.5,803388.67
7517,807908.19
7517.5,812441.01
7518,816987.13
7518.5,821546.54
7519,826119.26
7519.5,830704.88
7520,835307.17
7520.5,839924.78
7521,844557.71
7521.5,849205.96
7522,853869.53
7522.5,858548.41
7523,863242.61
7523.5,867952.13
7524,872676.96
7524.5,877417.11
7525,882172.58
7525.5,886943.37
7526,891729.47
7526.5,896530.9
7527,901347.64
7527.5,906179.69
