Elevation,Storage
5740,0
5740.5,364.9
5741,731.8
5741.5,1100.8
5742,1471.6
5742.5,1844.3
5743,2218.8
5743.5,2595.2
5744,2973.4
5744.5,3353.5
5745,3735.8
5745.5,4120.3
5746,4506.9
5746.5,4895.6
5747,5286.4
5747.5,5679.2
5748,6073.9
5748.5,6470.5
5749,6869
5749.5,7269.4
5750,7671.6
5750.5,8075.6
5751,8481.5
5751.5,8889.2
5752,9298.9
5752.5,9710.5
5753,10123.9
5753.5,10539.4
5754,10956.6
5754.5,11375.7
5755,11796.5
5755.5,12219.1
5756,12643.3
5756.5,13069.3
5757,13497
5757.5,13926.5
5758,14357.7
5758.5,14790.7
5759,15225.3
5759.5,15661.7
5760,16100
5760.5,16540
5761,16982
5761.5,17425.9
5762,17871.7
5762.5,18319.5
5763,18769.5
5763.5,19221.6
5764,19675.9
5764.5,20132.3
5765,20591.1
5765.5,21052.4
5766,21516.2
5766.5,21982.4
5767,22451
5767.5,22921.9
5768,23395
5768.5,23870.4
5769,24348
5769.5,24828
5770,25310.5
5770.5,25795.6
5771,26283.7
5771.5,26774.8
5772,27268.9
5772.5,27766.1
5773,28266.2
5773.5,28768.9
5774,29274.3
5774.5,29782.4
5775,30292.9
5775.5,30805.9
5776,31321.3
5776.5,31839
5777,32358.9
5777.5,32881.1
5778,33405.5
5778.5,33932.2
5779,34461.3
5779.5,34992.9
5780,35527
5780.5,36063.6
5781,36602.7
5781.5,37144.2
5782,37688
5782.5,38234.2
5783,38782.8
5783.5,39333.7
5784,39887.1
5784.5,40442.9
5785,41001.2
5785.5,41562
5786,42125.5
5786.5,42691.6
5787,43260.4
5787.5,43831.9
5788,44406.2
5788.5,44983.2
5789,45563.1
5789.5,46145.9
5790,46731.4
5790.5,47319.7
5791,47910.8
5791.5,48504.6
5792,49101.1
5792.5,49700.1
5793,50301.8
5793.5,50906.1
5794,51513.3
5794.5,52123.2
5795,52736
5795.5,53351.6
5796,53970.1
5796.5,54591.5
5797,55215.7
5797.5,55842.6
5798,56472.7
5798.5,57106
5799,57742.9
5799.5,58383.4
5800,59027.3
5800.5,59674.2
5801,60324.1
5801.5,60976.8
5802,61632.4
5802.5,62290.7
5803,62952
5803.5,63616
5804,64283.1
5804.5,64953.2
5805,65626.5
5805.5,66303
5806,66982.8
5806.5,67666.1
5807,68352.8
5807.5,69042.8
5808,69735.8
5808.5,70432
5809,71131.3
5809.5,71833.6
5810,72539
5810.5,73247.5
5811,73959.1
5811.5,74673.8
5812,75391.5
5812.5,76112.3
5813,76836.3
5813.5,77563.6
5814,78294.4
5814.5,79028.7
5815,79766.9
5815.5,80509.2
5816,81255.9
5816.5,82007.1
5817,82762.9
5817.5,83523.7
5818,84289.8
5818.5,85061.2
5819,85837.4
5819.5,86618.4
5820,87404.3
5820.5,88194.7
5821,88989.5
5821.5,89788.6
5822,90592
5822.5,91399.9
5823,92212.1
5823.5,93028.6
5824,93849.6
5824.5,94675.2
5825,95505.7
5825.5,96341.1
5826,97181.4
5826.5,98026.7
5827,98876.6
5827.5,99731
5828,100589.6
5828.5,101452.3
5829,102319.4
5829.5,103191
5830,104068.1
5830.5,104951.3
5831,105842.7
5831.5,106743.3
5832,107654.6
5832.5,108577.2
5833,109512.3
5833.5,110460.5
5834,111422.4
5834.5,112397.9
5835,113386.4
5835.5,114387.9
5836,115401.1
5836.5,116425.5
5837,117459.9
5837.5,118503.5
5838,119555.7
5838.5,120616
5839,121684.8
5839.5,122762.3
5840,123849.5
5840.5,124946.5
5841,126053.6
5841.5,127170.6
5842,128297.9
5842.5,129435.5
5843,130584.3
5843.5,131744.6
5844,132917
5844.5,134101.7
5845,135299.8
5845.5,136511.5
5846,137736.2
5846.5,138973.8
5847,140224.4
5847.5,141487.8
5848,142763.2
5848.5,144050
5849,145349.6
5849.5,146662.6
5850,147989.8
5850.5,149331.8
5851,150689.9
5851.5,152065.1
5852,153459.6
5852.5,154875.6
5853,156317.7
5853.5,157789.2
5854,159298
5854.5,160849.3
5855,162449.6
5855.5,164100.7
5856,165807
5856.5,167570.8
5857,169393.9
5857.5,171278.1
5858,173225.7
5858.5,175236.5
5859,177303.7
5859.5,179424.1
5860,181590.3
5860.5,183799.5
5861,186046.9
5861.5,188329.8
5862,190644.7
5862.5,192989.4
5863,195361.1
5863.5,197759.2
5864,200184.7
5864.5,202637.7
5865,205117.5
5865.5,207624.8
5866,210159.1
5866.5,212718.7
5867,215304.3
5867.5,217918.4
5868,220562.1
5868.5,223234.5
5869,225935.7
5869.5,228666
5870,231423.7
5870.5,234208
5871,237020.7
5871.5,239862.3
5872,242731.3
5872.5,245627.5
5873,248551.4
5873.5,251503.2
5874,254483.9
5874.5,257493.6
5875,260533.1
5875.5,263603.3
5876,266703.5
5876.5,269833.4
5877,272994.6
5877.5,276188.6
5878,279418
5878.5,282683.3
5879,285983.9
5879.5,289319.1
5880,292688.9
5880.5,296095.1
5881,299537.8
5881.5,303015.8
5882,306528.2
5882.5,310075.9
5883,313657
5883.5,317268.9
5884,320909.4
5884.5,324578.3
5885,328275.3
5885.5,331999.7
5886,335751.8
5886.5,339531.8
5887,343339.6
5887.5,347175.9
5888,351041.3
5888.5,354935.5
5889,358859.6
5889.5,362815.5
5890,366803.6
5890.5,370822.5
5891,374872.4
5891.5,378954.2
5892,383068.7
5892.5,387215.9
5893,391395.3
5893.5,395606.9
5894,399850.6
5894.5,404125.9
5895,408434
5895.5,412776
5896,417154.4
5896.5,421570.7
5897,426025.8
5897.5,430519.5
5898,435048.1
5898.5,439610.4
5899,444205.9
5899.5,448834.5
5900,453495.9
5900.5,458190.1
5901,462919.9
5901.5,467687.3
5902,472493.9
5902.5,477340.2
5903,482226.6
5903.5,487153.5
5904,492118.6
5904.5,497119.2
5905,502154
5905.5,507222.6
5906,512323.9
5906.5,517457.2
5907,522623.3
5907.5,527822.2
5908,533054.8
5908.5,538322.2
5909,543625.7
5909.5,548965.6
5910,554341.5
5910.5,559753.6
5911,565199.5
5911.5,570678
5912,576191.6
5912.5,581743.2
5913,587335.8
5913.5,592969.6
5914,598644.2
5914.5,604359.2
5915,610114.8
5915.5,615911.3
5916,621749.9
5916.5,627631.5
5917,633557.8
5917.5,639529.2
5918,645545.5
5918.5,651605.6
5919,657706.8
5919.5,663848.4
5920,670030.3
5920.5,676251.2
5921,682511.9
5921.5,688814.6
5922,695158.8
5922.5,701543.3
5923,707967.1
5923.5,714429.9
5924,720933.3
5924.5,727478.5
5925,734066.1
5925.5,740696.8
5926,747368.7
5926.5,754079.9
5927,760830.2
5927.5,767620.2
5928,774451.3
5928.5,781323.8
5929,788235.9
5929.5,795186.1
5930,802173
5930.5,809197
5931,816260.4
5931.5,823363.6
5932,830507
5932.5,837690.9
5933,844917.3
5933.5,852186.4
5934,859499.2
5934.5,866856.9
5935,874260.6
5935.5,881710.7
5936,889207.1
5936.5,896750.1
5937,904339
5937.5,911973.4
5938,919652.4
5938.5,927374.5
5939,935139.5
5939.5,942947.6
5940,950799.4
5940.5,958695.4
5941,966636.1
5941.5,974623.1
5942,982653.1
5942.5,990727.1
5943,998851.1
5943.5,1007033.1
5944,1015279.1
5944.5,1023593.1
5945,1031976.1
5945.5,1040428.1
5946,1048945.1
5946.5,1057526.1
5947,1066168.1
5947.5,1074869.1
5948,1083625.1
5948.5,1092438.1
5949,1101306.1
5949.5,1110227.1
5950,1119201.1
5950.5,1128228.1
5951,1137305.1
5951.5,1146430.1
5952,1155605.1
5952.5,1164830.1
5953,1174107.1
5953.5,1183438.1
5954,1192823.1
5954.5,1202261.1
5955,1211753.1
5955.5,1221299.1
5956,1230900.1
5956.5,1240558.1
5957,1250270.1
5957.5,1260034.1
5958,1269845.1
5958.5,1279702.1
5959,1289606.1
5959.5,1299562.1
5960,1309577.1
5960.5,1319647.1
5961,1329771.1
5961.5,1339945.1
5962,1350167.1
5962.5,1360437.1
5963,1370752.1
5963.5,1381112.1
5964,1391514.1
5964.5,1401960.1
5965,1412450.1
5965.5,1422983.1
5966,1433564.1
5966.5,1444192.1
5967,1454868.1
5967.5,1465592.1
5968,1476364.1
5968.5,1487185.1
5969,1498054.1
5969.5,1508970.1
5970,1519936.1
5970.5,1530950.1
5971,1542014.1
5971.5,1553130.1
5972,1564304.1
5972.5,1575539.1
5973,1586836.1
5973.5,1598195.1
5974,1609614.1
5974.5,1621093.1
5975,1632633.1
5975.5,1644232.1
5976,1655888.1
5976.5,1667601.1
5977,1679371.1
5977.5,1691197.1
5978,1703080.1
5978.5,1715020.1
5979,1727016.1
5979.5,1739068.1
5980,1751177.1
5980.5,1763344.1
5981,1775568.1
5981.5,1787852.1
5982,1800192.1
5982.5,1812588.1
5983,1825040.1
5983.5,1837548.1
5984,1850112.1
5984.5,1862733.1
5985,1875410.1
5985.5,1888145.1
5986,1900940.1
5986.5,1913794.1
5987,1926706.1
5987.5,1939674.1
5988,1952700.1
5988.5,1965782.1
5989,1978921.1
5989.5,1992117.1
5990,2005367.1
5990.5,2018672.1
5991,2032029.1
5991.5,2045441.1
5992,2058908.1
5992.5,2072431.1
5993,2086011.1
5993.5,2099649.1
5994,2113343.1
5994.5,2127092.1
5995,2140899.1
5995.5,2154767.1
5996,2168699.1
5996.5,2182698.1
5997,2196760.1
5997.5,2210885.1
5998,2225073.1
5998.5,2239327.1
5999,2253646.1
5999.5,2268029.1
6000,2282474.1
6000.5,2296982.1
6001,2311551.1
6001.5,2326180.1
6002,2340873.1
6002.5,2355630.1
6003,2370449.1
6003.5,2385328.1
6004,2400266.1
6004.5,2415263.1
6005,2430317.1
6005.5,2445429.1
6006,2460597.1
6006.5,2475822.1
6007,2491106.1
6007.5,2506448.1
6008,2521852.1
6008.5,2537318.1
6009,2552847.1
6009.5,2568441.1
6010,2584099.1
6010.5,2599819.1
6011,2615601.1
6011.5,2631442.1
6012,2647342.1
6012.5,2663304.1
6013,2679327.1
6013.5,2695412.1
6014,2711557.1
6014.5,2727763.1
6015,2744032.1
6015.5,2760365.1
6016,2776763.1
6016.5,2793226.1
6017,2809754.1
6017.5,2826346.1
6018,2843002.1
6018.5,2859723.1
6019,2876508.1
6019.5,2893357.1
6020,2910270.1
6020.5,2927249.1
6021,2944292.1
6021.5,2961400.1
6022,2978574.1
6022.5,2995811.1
6023,3013113.1
6023.5,3030480.1
6024,3047912.1
6024.5,3065410.1
6025,3082974.1
6025.5,3100604.1
6026,3118301.1
6026.5,3136066.1
6027,3153897.1
6027.5,3171797.1
6028,3189766.1
6028.5,3207993.1
6029,3226731.1
6029.5,3245817.1
6030,3265024.1
6030.5,3284339.1
6031,3303763.1
6031.5,3323293.1
6032,3342924.1
6032.5,3362656.1
6033,3382498.1
6033.5,3402451.1
6034,3422512.1
6034.5,3442675.1
6035,3462939.1
6035.5,3483305.1
6036,3503772.1
6036.5,3524340.1
6037,3545009.1
6037.5,3565780.1
6038,3586655.1
6038.5,3607633.1
6039,3628710.1
6039.5,3649880.1
6040,3671141.1
6040.5,3692490.1
6041,3713937.1
6041.5,3735492.1
6042,3757151.1
6042.5,3778910.1
6043,3800766.1
6043.5,3822717.1
6044,3844761.1
6044.5,3866897.1
6045,3889125.1
6045.5,3911447.1
6046,3933863.1
6046.5,3956375.1
6047,3978983.1
