Elevation ,Storage
895,0
895.5,15111
896,30270
896.5,45479
897,60736
897.5,76043
898,91398
898.5,106803
899,122257
899.5,137759
900,153311
900.5,168917
901,184584
901.5,200311
902,216098
902.5,231946
903,247854
903.5,263822
904,279851
904.5,295939
905,312088
905.5,328298
906,344568
906.5,360898
907,377288
907.5,393739
908,410250
908.5,426821
909,443452
909.5,460144
910,476896
910.5,493708
911,510579
911.5,527509
912,544497
912.5,561545
913,578651
913.5,595817
914,613041
914.5,630324
915,647667
915.5,665068
916,682528
916.5,700047
917,717625
917.5,735262
918,752958
918.5,770713
919,788526
919.5,806399
920,824331
920.5,842320
921,860367
921.5,878471
922,896631
922.5,914849
923,933123
923.5,951455
924,969844
924.5,988290
925,1006793
925.5,1025353
926,1043970
926.5,1062644
927,1081375
927.5,1100163
928,1119008
928.5,1137910
929,1156869
929.5,1175885
930,1194958
930.5,1214089
931,1233278
931.5,1252525
932,1271830
932.5,1291193
933,1310614
933.5,1330093
934,1349630
934.5,1369226
935,1388879
935.5,1408591
936,1428360
936.5,1448188
937,1468074
937.5,1488018
938,1508019
938.5,1528079
939,1548198
939.5,1568374
940,1588608
940.5,1608900
941,1629251
941.5,1649661
942,1670130
942.5,1690656
943,1711242
943.5,1731886
944,1752588
944.5,1773349
945,1794169
945.5,1815047
946,1835984
946.5,1856979
947,1878033
947.5,1899145
948,1920316
948.5,1941545
949,1962834
949.5,1984180
950,2005585
950.5,2027052
951,2048584
951.5,2070180
952,2091842
952.5,2113568
953,2135358
953.5,2157214
954,2179135
954.5,2201120
955,2223170
955.5,2245285
956,2267464
956.5,2289709
957,2312018
957.5,2334392
958,2356831
958.5,2379335
959,2401903
959.5,2424536
960,2447235
960.5,2469995
961,2492815
961.5,2515695
962,2538634
962.5,2561633
963,2584691
963.5,2607809
964,2630987
964.5,2654225
965,2677522
965.5,2700878
966,2724295
966.5,2747771
967,2771306
967.5,2794901
968,2818556
968.5,2842271
969,2866046
969.5,2889878
970,2913772
970.5,2937729
971,2961753
971.5,2985843
972,3010001
972.5,3034226
973,3058517
973.5,3082876
974,3107301
974.5,3131794
975,3156353
975.5,3180979
976,3205673
976.5,3230433
977,3255260
977.5,3280154
978,3305115
978.5,3330143
979,3355238
979.5,3380401
980,3405630
980.5,3430929
981,3456303
981.5,3481753
982,3507278
982.5,3532877
983,3558550
983.5,3584299
984,3610123
984.5,3636021
985,3661994
985.5,3688042
986,3714165
986.5,3740363
987,3766635
987.5,3792982
988,3819405
988.5,3845902
989,3872474
989.5,3899120
990,3925842
990.5,3952636
991,3979502
991.5,4006440
992,4033448
992.5,4060528
993,4087680
993.5,4114903
994,4142198
994.5,4169563
995,4197001
995.5,4224510
996,4252089
996.5,4279741
997,4307464
997.5,4335258
998,4363125
998.5,4391061
999,4419070
999.5,4447150
1000,4475301
1000.5,4503527
1001,4531830
1001.5,4560212
1002,4588670
1002.5,4617206
1003,4645820
1003.5,4674511
1004,4703279
1004.5,4732126
1005,4761049
1005.5,4790050
1006,4819129
1006.5,4848286
1007,4877519
1007.5,4906831
1008,4936219
1008.5,4965686
1009,4995230
1009.5,5024851
1010,5054550
1010.5,5084326
1011,5114179
1011.5,5144107
1012,5174113
1012.5,5204194
1013,5234353
1013.5,5264587
1014,5294898
1014.5,5325286
1015,5355750
1015.5,5386290
1016,5416907
1016.5,5447600
1017,5478370
1017.5,5509216
1018,5540139
1018.5,5571138
1019,5602213
1019.5,5633365
1020,5664593
1020.5,5695898
1021,5727281
1021.5,5758741
1022,5790278
1022.5,5821892
1023,5853583
1023.5,5885352
1024,5917198
1024.5,5949121
1025,5981122
1025.5,6013200
1026,6045355
1026.5,6077587
1027,6109897
1027.5,6142284
1028,6174748
1028.5,6207289
1029,6239908
1029.5,6272604
1030,6305377
1030.5,6338229
1031,6371161
1031.5,6404174
1032,6437266
1032.5,6470439
1033,6503693
1033.5,6537026
1034,6570440
1034.5,6603934
1035,6637508
1035.5,6671163
1036,6704897
1036.5,6738713
1037,6772608
1037.5,6806583
1038,6840639
1038.5,6874775
1039,6908992
1039.5,6943288
1040,6977665
1040.5,7012124
1041,7046668
1041.5,7081296
1042,7116008
1042.5,7150804
1043,7185685
1043.5,7220651
1044,7255700
1044.5,7290834
1045,7326052
1045.5,7361355
1046,7396742
1046.5,7432213
1047,7467768
1047.5,7503408
1048,7539138
1048.5,7574938
1049,7610838
1049.5,7646818
1050,7682878
1050.5,7719018
1051,7755258
1051.5,7791588
1052,7828018
1052.5,7864528
1053,7901128
1053.5,7937828
1054,7974608
1054.5,8011488
1055,8048458
1055.5,8085508
1056,8122658
1056.5,8159898
1057,8197218
1057.5,8234638
1058,8272148
1058.5,8309748
1059,8347438
1059.5,8385218
1060,8423088
1060.5,8461048
1061,8499098
1061.5,8537248
1062,8575478
1062.5,8613798
1063,8652218
1063.5,8690718
1064,8729308
1064.5,8767998
1065,8806768
1065.5,8845638
1066,8884598
1066.5,8923638
1067,8962778
1067.5,9002008
1068,9041328
1068.5,9080738
1069,9120238
1069.5,9159828
1070,9199508
1070.5,9239268
1071,9279118
1071.5,9319048
1072,9359068
1072.5,9399178
1073,9439368
1073.5,9479648
1074,9520008
1074.5,9560448
1075,9600988
1075.5,9641598
1076,9682298
1076.5,9723088
1077,9763958
1077.5,9804918
1078,9845958
1078.5,9887088
1079,9928298
1079.5,9969598
1080,10010978
1080.5,10052448
1081,10093998
1081.5,10135648
1082,10177378
1082.5,10219198
1083,10261098
1083.5,10303098
1084,10345178
1084.5,10387348
1085,10429608
1085.5,10471948
1086,10514388
1086.5,10556908
1087,10599518
1087.5,10642218
1088,10684998
1088.5,10727868
1089,10770828
1089.5,10813878
1090,10857008
1090.5,10900238
1091,10943548
1091.5,10986938
1092,11030418
1092.5,11073988
1093,11117638
1093.5,11161378
1094,11205208
1094.5,11249118
1095,11293118
1095.5,11336955.12
1096,11380872.81
1096.5,11424872.44
1097,11468946.25
1097.5,11513107.08
1098,11557346.99
1098.5,11601673.66
1099,11646067.27
1099.5,11690576.89
1100,11735176.05
1100.5,11779866.81
1101,11824637.1
1101.5,11869502.27
1102,11914439.13
1102.5,11959478.53
1103,12004602.44
1103.5,12049826.63
1104,12095140.26
1104.5,12140560.32
1105,12186069.17
