water_year,lees_ferry
1416,10841028
1417,13088534
1418,12785363
1419,14279503
1420,18398952
1421,15712115
1422,19653865
1423,16758701
1424,15437552
1425,10614473
1426,17790221
1427,16378338
1428,12647645
1429,18323944
1430,18123305
1431,20521704
1432,17903589
1433,14520812
1434,15828647
1435,16600935
1436,17619594
1437,14705469
1438,12533751
1439,9745386
1440,17511464
1441,21170787
1442,10098577
1443,14316767
1444,12832708
1445,8866651
1446,9297202
1447,15357698
1448,12669469
1449,15285638
1450,9381670
1451,14852097
1452,13681546
1453,12675120
1454,8217945
1455,7303509
1456,8930146
1457,12232352
1458,12124326
1459,9393318
1460,5714000
1461,7641933
1462,17920963
1463,17355800
1464,16723584
1465,10870182
1466,18969321
1467,22295269
1468,19630211
1469,14704077
1470,13825265
1471,10683434
1472,9971942
1473,10508826
1474,11587155
1475,9066717
1476,13837563
1477,17221890
1478,14643480
1479,13640724
1480,11950208
1481,16435175
1482,19877501
1483,17672684
1484,24890959
1485,20973397
1486,19259305
1487,18093077
1488,18083454
1489,19988574
1490,19608685
1491,20836624
1492,17520398
1493,15439385
1494,20161166
1495,10904861
1496,6081116
1497,10427237
1498,18208557
1499,9117343
1500,6103845
1501,9494573
1502,11808670
1503,11624114
1504,14689030
1505,8707873
1506,5955491
1507,8789307
1508,11750792
1509,19586416
1510,11296762
1511,15541602
1512,13772050
1513,16956939
1514,19807824
1515,12152476
1516,10431726
1517,12640024
1518,12822112
1519,15576706
1520,11837790
1521,20664096
1522,12744475
1523,21548865
1524,20179286
1525,19101380
1526,19179206
1527,17732935
1528,15387299
1529,15693699
1530,15867300
1531,9494751
1532,5475567
1533,11790922
1534,17260497
1535,17257053
1536,18978120
1537,18692531
1538,12704879
1539,17646821
1540,19099083
1541,15550805
1542,6764605
1543,11129450
1544,10236645
1545,9355098
1546,13764117
1547,11962528
1548,14060245
1549,19486407
1550,17223199
1551,12711779
1552,12915339
1553,20497458
1554,15704414
1555,18753603
1556,14927941
1557,19128981
1558,9966408
1559,12252361
1560,17154558
1561,13295752
1562,10502680
1563,12352527
1564,18812601
1565,18599544
1566,13168281
1567,11618805
1568,12467377
1569,12713945
1570,16671389
1571,16139030
1572,17146427
1573,12147732
1574,9572348
1575,14295171
1576,10994896
1577,18749785
1578,17146474
1579,13184597
1580,8175557
1581,9748730
1582,12592240
1583,10445099
1584,5610726
1585,8071201
1586,12187838
1587,10409269
1588,13528072
1589,16328060
1590,8301999
1591,8239047
1592,8056240
1593,10946517
1594,17129342
1595,15190518
1596,18447577
1597,12014064
1598,6774382
1599,14559138
1600,7100674
1601,14915447
1602,15438779
1603,17692041
1604,20022560
1605,20528474
1606,19555345
1607,9254908
1608,15596896
1609,14998021
1610,18159056
1611,18436259
1612,16205649
1613,19401177
1614,19737189
1615,20526076
1616,19588486
1617,20604586
1618,21438244
1619,18597608
1620,17866895
1621,21498690
1622,11603826
1623,13814001
1624,11147418
1625,9708244
1626,9524173
1627,13028667
1628,13941512
1629,12629049
1630,11473941
1631,9489299
1632,9915650
1633,19115222
1634,11238130
1635,11069306
1636,12010402
1637,11082482
1638,12060299
1639,15024475
1640,15223083
1641,13099107
1642,15948785
1643,14011609
1644,16415430
1645,9596116
1646,10056137
1647,15116850
1648,12587366
1649,20293641
1650,19136216
1651,19579558
1652,13471000
1653,9728139
1654,6247992
1655,19630607
1656,12602170
1657,14777742
1658,10944723
1659,12659097
1660,15149446
1661,14530263
1662,16054909
1663,14034011
1664,11120913
1665,12024532
1666,10744247
1667,9168443
1668,8673007
1669,17188166
1670,10049803
1671,9213879
1672,16726551
1673,18936452
1674,18875290
1675,14106060
1676,19575712
1677,15408387
1678,21375955
1679,17503020
1680,22207468
1681,19284215
1682,14315320
1683,20605468
1684,11264390
1685,5141958
1686,7535407
1687,11641178
1688,15144660
1689,14917123
1690,16587932
1691,18666375
1692,16522674
1693,16634355
1694,15011631
1695,12442904
1696,14185997
1697,14041203
1698,18284481
1699,16521416
1700,12461193
1701,19729318
1702,17888973
1703,13501957
1704,10054059
1705,14731229
1706,10291409
1707,9789819
1708,8782174
1709,12245790
1710,13296162
1711,12895687
1712,14762360
1713,12563095
1714,8179307
1715,12747790
1716,12504490
1717,11425581
1718,15732752
1719,20144283
1720,22988057
1721,13989807
1722,9350628
1723,11943357
1724,12188499
1725,18572329
1726,23136056
1727,19386816
1728,12706016
1729,10337851
1730,12239161
1731,11973204
1732,12302886
1733,14588468
1734,19729250
1735,9110410
1736,8555870
1737,10159875
1738,15160280
1739,15876161
1740,10974633
1741,17095949
1742,14549182
1743,17174709
1744,12258613
1745,17540547
1746,19156890
1747,21605514
1748,10850571
1749,18346127
1750,11994343
1751,14633389
1752,13276347
1753,19289061
1754,14463024
1755,11699146
1756,8064284
1757,9456938
1758,12659213
1759,9924909
1760,13909758
1761,18291374
1762,19382840
1763,11016929
1764,19413179
1765,11418738
1766,15886184
1767,11847532
1768,20517273
1769,19735991
1770,16214768
1771,19078750
1772,12337775
1773,9532424
1774,11469946
1775,13564924
1776,11255751
1777,9396070
1778,9705681
1779,10592919
1780,9244911
1781,10434346
1782,8913605
1783,12558898
1784,17213780
1785,16643520
1786,10869686
1787,17304921
1788,13448295
1789,10098620
1790,21029560
1791,20353606
1792,21057548
1793,14749194
1794,15238792
1795,12156142
1796,17616230
1797,19985514
1798,8185892
1799,16867560
1800,14369550
1801,11923434
1802,16988844
1803,13558543
1804,11044787
1805,11228581
1806,10257043
1807,13008841
1808,13450851
1809,10749254
1810,13443332
1811,20026530
1812,17799449
1813,12534526
1814,10748799
1815,15683211
1816,18680729
1817,15494714
1818,13983669
1819,14070696
1820,11635143
1821,15667717
1822,10281121
1823,11895791
1824,8014508
1825,10530858
1826,13841265
1827,13038417
1828,19920434
1829,9825577
1830,12356536
1831,15587204
1832,20002783
1833,15058878
1834,11015332
1835,14610868
1836,15170446
1837,22135617
1838,22213388
1839,21205825
1840,22595892
1841,20845801
1842,11950759
1843,18919030
1844,16128626
1845,6423305
1846,8425582
1847,6053075
1848,10399904
1849,21094799
1850,18691900
1851,7119185
1852,14008207
1853,18940968
1854,14550268
1855,8718808
1856,13171857
1857,11147388
1858,15840035
1859,15271166
1860,16975099
1861,8661428
1862,20137495
1863,11872045
1864,12739522
1865,15516931
1866,23406370
1867,23913376
1868,20717304
1869,19660535
1870,16812631
1871,9195420
1872,15659564
1873,14054578
1874,10237103
1875,12562327
1876,14268766
1877,12744445
1878,12384595
1879,8503618
1880,12450564
1881,12293529
1882,10537202
1883,11612211
1884,19124835
1885,18631863
1886,13988049
1887,9863876
1888,11124709
1889,9806898
1890,11989638
1891,14010723
1892,14602440
1893,10764057
1894,12125068
1895,16429722
1896,9021941
1897,17788643
1898,13450575
1899,11226327
1900,10778506
1901,10971362
1902,6730620
1903,12960866
1904,10841276
1905,14186010
1906,18374801
1907,19098403
1908,12453913
1909,18574503
1910,14507541
1911,17028883
1912,17901491
1913,14027344
1914,20137228
1915,15630080
1916,16610144
1917,20028795
1918,15882205
1919,13745107
1920,18458696
1921,20839166
1922,15633170
1923,17022761
1924,16444948
1925,13832683
1926,17646498
1927,17138542
1928,17422898
1929,18203490
1930,16492419
1931,11062810
1932,17852435
1933,13311744
1934,7417961
1935,10878077
1936,10752320
1937,13525071
1938,15476806
1939,11527331
1940,12276485
1941,17365895
1942,19283775
1943,12917093
1944,13216648
1945,12150360
1946,9492786
1947,16157116
1948,13810097
1949,18065804
1950,13263766
1951,11133611
1952,18739500
1953,11767357
1954,8048137
1955,11077696
1956,10778190
1957,18909879
1958,14744466
1959,9346254
1960,12235096
1961,9236638
1962,18337459
1963,10748289
1964,10473825
1965,17225090
1966,12993794
1967,12600268
1968,12286725
1969,17505028
1970,15800085
1971,13515159
1972,12802686
1973,20264955
1974,17038468
1975,18245382
1976,11846253
1977,6611338
1978,14088669
1979,17470263
1980,14857079
1981,10563662
1982,17522228
1983,23254473
1984,23567793
1985,23738740
1986,23148543
1987,18859841
1988,14388808
1989,12184333
1990,9393601
1991,14643479
1992,12819614
1993,16592375
1994,10250186
1995,17389848
1996,14744354
1997,17074786
1998,18300899
1999,15773102
2000,11358965
2001,11258886
2002,6052304
2003,12259609
2004,10567716
2005,16780965
2006,9819446
2007,18048700
2008,16825824
2009,18236622
2010,14401911
2011,19520820
2012,6885708
2013,10391615
2014,15980435
2015,15467181
