Elevation,Storage
5775,0
5775.5,297
5776,598
5776.5,903
5777,1212
5777.5,1525
5778,1842
5778.5,2163
5779,2488
5779.5,2817
5780,3150
5780.5,3486.81
5781,3827.25
5781.5,4171.31
5782,4519
5782.5,4870.31
5783,5225.25
5783.5,5583.81
5784,5946
5784.5,6311.81
5785,6681.25
5785.5,7054.31
5786,7431
5786.5,7811.31
5787,8195.25
5787.5,8582.81
5788,8974
5788.5,9368.81
5789,9767.25
5789.5,10169.31
5790,10575
5790.5,10984.31
5791,11397.25
5791.5,11813.81
5792,12234
5792.5,12657.81
5793,13085.25
5793.5,13516.31
5794,13951
5794.5,14389.31
5795,14831.25
5795.5,15276.81
5796,15726
5796.5,16178.81
5797,16635.25
5797.5,17095.31
5798,17559
5798.5,18026.31
5799,18497.25
5799.5,18971.81
5800,19450
5800.5,19932.19
5801,20418.75
5801.5,20909.69
5802,21405
5802.5,21904.69
5803,22408.75
5803.5,22917.19
5804,23430
5804.5,23947.19
5805,24468.75
5805.5,24994.69
5806,25525
5806.5,26059.69
5807,26598.75
5807.5,27142.19
5808,27690
5808.5,28242.19
5809,28798.75
5809.5,29359.69
5810,29925
5810.5,30494.69
5811,31068.75
5811.5,31647.19
5812,32230
5812.5,32817.19
5813,33408.75
5813.5,34004.69
5814,34605
5814.5,35209.69
5815,35818.75
5815.5,36432.19
5816,37050
5816.5,37672.19
5817,38298.75
5817.5,38929.69
5818,39565
5818.5,40204.69
5819,40848.75
5819.5,41497.19
5820,42150
5820.5,42807.06
5821,43468.25
5821.5,44133.56
5822,44803
5822.5,45476.56
5823,46154.25
5823.5,46836.06
5824,47522
5824.5,48212.06
5825,48906.25
5825.5,49604.56
5826,50307
5826.5,51013.56
5827,51724.25
5827.5,52439.06
5828,53158
5828.5,53881.06
5829,54608.25
5829.5,55339.56
5830,56075
5830.5,56814.56
5831,57558.25
5831.5,58306.06
5832,59058
5832.5,59814.06
5833,60574.25
5833.5,61338.56
5834,62107
5834.5,62879.56
5835,63656.25
5835.5,64437.06
5836,65222
5836.5,66011.06
5837,66804.25
5837.5,67601.56
5838,68403
5838.5,69208.56
5839,70018.25
5839.5,70832.06
5840,71650
5840.5,72472.88
5841,73301.5
5841.5,74135.88
5842,74976
5842.5,75821.88
5843,76673.5
5843.5,77530.88
5844,78394
5844.5,79262.88
5845,80137.5
5845.5,81017.88
5846,81904
5846.5,82795.88
5847,83693.5
5847.5,84596.88
5848,85506
