Elevation,Storage
3370,0
3370.1,1883.31
3370.2,3768.08
3370.3,5654.31
3370.4,7542
3370.5,9431.15
3370.6,11321.75
3370.7,13213.81
3370.8,15107.33
3370.9,17002.29
3371,18898.71
3371.1,20796.55
3371.2,22695.77
3371.3,24596.36
3371.4,26498.33
3371.5,28401.66
3371.6,30306.36
3371.7,32212.43
3371.8,34119.86
3371.9,36028.66
3372,37938.82
3372.1,39850.4
3372.2,41763.35
3372.3,43677.65
3372.4,45593.26
3372.5,47510.17
3372.6,49428.37
3372.7,51347.85
3372.8,53268.6
3372.9,55190.61
3373,57113.89
3373.1,59038.38
3373.2,60964.08
3373.3,62891
3373.4,64819.15
3373.5,66748.55
3373.6,68679.18
3373.7,70611.06
3373.8,72544.2
3373.9,74478.59
3374,76414.23
3374.1,78350.98
3374.2,80288.86
3374.3,82227.97
3374.4,84168.38
3374.5,86110.14
3374.6,88053.29
3374.7,89997.85
3374.8,91943.85
3374.9,93891.33
3375,95840.29
3375.1,97790.65
3375.2,99742.53
3375.3,101696.08
3375.4,103651.37
3375.5,105608.47
3375.6,107567.41
3375.7,109528.25
3375.8,111491.01
3375.9,113455.73
3376,115422.42
3376.1,117391.41
3376.2,119362.69
3376.3,121336.11
3376.4,123311.58
3376.5,125289.07
3376.6,127268.53
3376.7,129249.92
3376.8,131233.23
3376.9,133218.44
3377,135205.51
3377.1,137194.3
3377.2,139184.68
3377.3,141176.67
3377.4,143170.29
3377.5,145165.55
3377.6,147162.44
3377.7,149160.98
3377.8,151161.17
3377.9,153163
3378,155166.49
3378.1,157171.63
3378.2,159178.37
3378.3,161186.68
3378.4,163196.58
3378.5,165208.04
3378.6,167221.06
3378.7,169235.64
3378.8,171251.78
3378.9,173269.47
3379,175288.71
3379.1,177309.52
3379.2,179331.88
3379.3,181355.78
3379.4,183381.23
3379.5,185408.22
3379.6,187436.74
3379.7,189466.79
3379.8,191498.37
3379.9,193531.49
3380,195566.13
3380.1,197602.23
3380.2,199639.84
3380.3,201679.01
3380.4,203719.79
3380.5,205762.2
3380.6,207806.26
3380.7,209851.98
3380.8,211899.38
3380.9,213948.47
3381,215999.26
3381.1,218051.8
3381.2,220106.08
3381.3,222162.08
3381.4,224219.79
3381.5,226279.2
3381.6,228340.3
3381.7,230403.09
3381.8,232467.55
3381.9,234533.69
3382,236601.5
3382.1,238670.91
3382.2,240741.86
3382.3,242814.36
3382.4,244888.42
3382.5,246964.05
3382.6,249041.25
3382.7,251120.03
3382.8,253200.38
3382.9,255282.32
3383,257365.84
3383.1,259450.92
3383.2,261537.5
3383.3,263625.55
3383.4,265715.05
