"Reconstructed Water Year flows, AF"		
	CA	
Year	Reconstr	Obs
900	15865666	
901	25589572	
902	15990539	
903	22724860	
904	22780171	
905	22006284	
906	24259600	
907	16892715	
908	14164354	
909	15001037	
910	24869337	
911	24992116	
912	21422191	
913	10709378	
914	27843030	
915	11658068	
916	23445217	
917	19543639	
918	13155032	
919	16702701	
920	20928372	
921	13653925	
922	16616347	
923	14059253	
924	10874057	
925	20211330	
926	22019015	
927	20820645	
928	13799959	
929	12503717	
930	9938595	
931	18526738	
932	13097493	
933	10899048	
934	19834902	
935	18264216	
936	13836756	
937	21675253	
938	12452306	
939	15346976	
940	20879421	
941	21524927	
942	13853782	
943	14397075	
944	19245526	
945	14624453	
946	16498321	
947	13575363	
948	12765810	
949	13767243	
950	14389456	
951	25809614	
952	13507897	
953	17893583	
954	8877282	
955	19846540	
956	25810839	
957	7489204	
958	15349280	
959	18170603	
960	20539136	
961	10882043	
962	12350317	
963	23069675	
964	15044288	
965	21927664	
966	18581566	
967	21062037	
968	26561321	
969	14359355	
970	26517980	
971	13546420	
972	20915645	
973	19232447	
974	19975265	
975	14366127	
976	16431388	
977	14012710	
978	13568027	
979	8387811	
980	12995399	
981	11673350	
982	22793685	
983	11801639	
984	21505178	
985	25487168	
986	10573439	
987	18154905	
988	21197143	
989	18803514	
990	14258132	
991	24757706	
992	18071895	
993	25453124	
994	21102180	
995	13463671	
996	13266618	
997	25934189	
998	25492725	
999	16348415	
1000	25305877	
1001	25871307	
1002	25884239	
1003	24320770	
1004	24934366	
1005	17623419	
1006	26064640	
1007	23877482	
1008	26380921	
1009	25661143	
1010	18462599	
1011	25407703	
1012	11677730	
1013	24894151	
1014	17778197	
1015	25902720	
1016	25362331	
1017	23217595	
1018	17896491	
1019	28065470	
1020	21205410	
1021	17199150	
1022	15240149	
1023	28440709	
1024	25065828	
1025	11899463	
1026	26113741	
1027	24882164	
1028	13974840	
1029	18266854	
1030	17866179	
1031	24396179	
1032	14860058	
1033	16872169	
1034	24232311	
1035	13580906	
1036	26256114	
1037	19723261	
1038	16321396	
1039	14385344	
1040	12643386	
1041	25086918	
1042	25214212	
1043	11167469	
1044	13526532	
1045	25357158	
1046	17809828	
1047	12295455	
1048	13715707	
1049	20066550	
1050	18146874	
1051	17119456	
1052	10745426	
1053	13200017	
1054	25633257	
1055	13765143	
1056	14329598	
1057	20911648	
1058	18266307	
1059	8001797	
1060	10128755	
1061	19478973	
1062	13747148	
1063	18507264	
1064	25840545	
1065	18237812	
1066	14625711	
1067	18640551	
1068	24504723	
1069	14479917	
1070	8622576	
1071	18407604	
1072	9660085	
1073	16332584	
1074	14602056	
1075	14395829	
1076	20102771	
1077	20966018	
1078	24527617	
1079	25936663	
1080	20229482	
1081	19490151	
1082	15059591	
1083	16489348	
1084	25257008	
1085	19218172	
1086	16205596	
1087	25150127	
1088	20089005	
1089	23557195	
1090	13134452	
1091	22351360	
1092	13085906	
1093	9578849	
1094	24691170	
1095	20327089	
1096	15230621	
1097	20727976	
1098	7786456	
1099	20027198	
1100	26714282	
1101	15847543	
1102	19853403	
1103	11899534	
1104	24154215	
1105	22994026	
1106	21464566	
1107	21673606	
1108	17488082	
1109	24273490	
1110	20625742	
1111	17950986	
1112	21472535	
1113	26378174	
1114	14203636	
1115	14647183	
1116	25530324	
1117	19158039	
1118	25393877	
1119	17715080	
1120	25256613	
1121	16761890	
1122	25168085	
1123	12162323	
1124	17924625	
1125	25610526	
1126	6732432	
1127	16223443	
1128	23819227	
1129	20929884	
1130	13021525	
1131	12464657	
1132	15471888	
1133	13957339	
1134	14496489	
1135	12023371	
1136	17412295	
1137	18114691	
1138	21963996	
1139	15193593	
1140	10760587	
1141	13606929	
1142	20604237	
1143	12942096	
1144	11775701	
1145	10055363	
1146	11467572	
1147	17494037	
1148	12578567	
1149	25304995	
1150	11998109	
1151	13998937	
1152	11723301	
1153	16265793	
1154	12428770	
1155	12816070	
1156	9239603	
1157	14539001	
1158	12835479	
1159	25273496	
1160	16961724	
1161	13737032	
1162	13181475	
1163	24998269	
1164	10277184	
1165	24986196	
1166	20847796	
1167	20346618	
1168	11918874	
1169	28053668	
1170	11027244	
1171	15175638	
1172	16545766	
1173	15857010	
1174	12659343	
1175	13923529	
1176	15117829	
1177	11323976	
1178	25802621	
1179	19537853	
1180	17297591	
1181	22473969	
1182	24938535	
1183	7937369	
1184	22320394	
1185	10411054	
1186	17509087	
1187	11820497	
1188	26034676	
1189	17073937	
1190	20911448	
1191	17082316	
1192	17266908	
1193	22836799	
1194	17558115	
1195	25979009	
1196	16419465	
1197	21680674	
1198	16434931	
1199	17236986	
1200	21345222	
1201	21443628	
1202	25635946	
1203	20299101	
1204	26502696	
1205	25910119	
1206	11118833	
1207	19225248	
1208	16070462	
1209	25506695	
1210	13275435	
1211	13986716	
1212	19013646	
1213	13747745	
1214	25915668	
1215	14509465	
1216	26401662	
1217	10059364	
1218	13265710	
1219	24843674	
1220	26027229	
1221	14694903	
1222	17858807	
1223	15196670	
1224	22717321	
1225	21508291	
1226	14145004	
1227	11306977	
1228	20673373	
1229	25332670	
1230	14801469	
1231	10416507	
1232	19593318	
1233	15159657	
1234	16677446	
1235	15249140	
1236	10142180	
1237	11007010	
1238	16625739	
1239	15638394	
1240	23248970	
1241	27426283	
1242	13096851	
1243	21531922	
1244	14997327	
1245	9080224	
1246	25858994	
1247	22955463	
1248	25727113	
1249	17289825	
1250	8200136	
1251	13298355	
1252	20153012	
1253	16352837	
1254	9915781	
1255	17530031	
1256	25335415	
1257	14665403	
1258	14586171	
1259	24939527	
1260	13520512	
1261	12106883	
1262	26374088	
1263	15034458	
1264	10093726	
1265	22976057	
1266	17800147	
1267	19243830	
1268	14363890	
1269	11834062	
1270	25379695	
1271	13457677	
1272	18428884	
1273	11697134	
1274	21743864	
1275	21967986	
1276	16556823	
1277	22668102	
1278	18706073	
1279	10495141	
1280	22476012	
1281	19001683	
1282	23360770	
1283	25439700	
1284	15610714	
1285	7440574	
1286	25746237	
1287	25153176	
