water_year,lees_ferry
1490,18616585.66
1491,20791314.8
1492,17031541.79
1493,15521963.51
1494,19465157.48
1495,9149398.69
1496,4161576.614
1497,9634836.478
1498,18067620.65
1499,10553169.97
1500,5852618.163
1501,10150842.96
1502,12123408.66
1503,11470887.7
1504,14575788.78
1505,8285104.62
1506,3206429.949
1507,10591610.44
1508,12954871.07
1509,19772997.91
1510,13442023.15
1511,16837659.99
1512,13706028.06
1513,15569482.11
1514,19554380.3
1515,12239035.06
1516,11129546.2
1517,12822207.97
1518,12268702.9
1519,16840396.77
1520,13564367.36
1521,23039552.56
1522,9568269.9
1523,20751965.56
1524,17821137.48
1525,17176825.86
1526,18320875.25
1527,17940472.17
1528,12947111.51
1529,16591407.33
1530,16435305.98
1531,8103052.817
1532,5210823.001
1533,10841580.27
1534,14752549.91
1535,16561996.78
1536,20697209.73
1537,19299192.42
1538,11340614.41
1539,18089473.54
1540,17716919.78
1541,16697053.15
1542,4699191.607
1543,11698017.94
1544,11471212.32
1545,7411800.529
1546,15781994.21
1547,13600923.89
1548,15578085.44
1549,21044212.1
1550,17277809.75
1551,13789500.94
1552,12642698.53
1553,19456938.02
1554,15897830.78
1555,17352947.3
1556,15107881.95
1557,20245762.43
1558,8939982.573
1559,13996815.65
1560,17154578.4
1561,15066916.52
1562,11745658.42
1563,12333786.68
1564,18930115.52
1565,18952956.68
1566,14419196.01
1567,12121977.5
1568,14697161.72
1569,14202555.5
1570,17051567.28
1571,15960224.14
1572,16758614.44
1573,11871406.93
1574,6992065.643
1575,15382488.98
1576,10759535.77
1577,18226429.66
1578,18025740.65
1579,13246786.09
1580,8053115.823
1581,11879734.42
1582,13249686.81
1583,12512594.96
1584,1707415.997
1585,7015622.338
1586,15241504.46
1587,12034355.49
1588,17156139.27
1589,18358239.5
1590,6724784.969
1591,7574489.36
1592,7635984.994
1593,14165069.55
1594,16807894.45
1595,19800189.61
1596,21929014.53
1597,14252376.82
1598,4700526.446
1599,16976948.44
1600,6514518.331
1601,16380590.72
1602,17616592.68
1603,19592990.16
1604,21956471.84
1605,24090383.01
1606,19681963.88
1607,7633714.71
1608,15007040.03
1609,16110490.57
1610,18491428.61
1611,18765742.09
1612,16630409.56
1613,20739420.29
1614,21780478.69
1615,20627902
1616,17746689.13
1617,21572146.11
1618,21609364.52
1619,18006775.28
1620,17288093.94
1621,21352500.56
1622,12510114.47
1623,12602915.3
1624,10721918.87
1625,7486446.662
1626,7567841.146
1627,12987464.64
1628,14016988.56
1629,12044918.65
1630,13233497.84
1631,7778199.502
1632,7621270.636
1633,18559488.43
1634,13009612.66
1635,13320791.53
1636,13604499.78
1637,11225233.8
1638,12604454.48
1639,15805133.09
1640,16732852.36
1641,14045687.81
1642,16329655.43
1643,15445578.21
1644,17181406.01
1645,7835731.961
1646,6458256.177
1647,15095746.63
1648,11753039.33
1649,19730872.2
1650,18585602.52
1651,17587853.25
1652,15301818.61
1653,9173077.367
1654,3625059.181
1655,20312457
1656,12592146.15
1657,13544785.29
1658,8888412.219
1659,13117959.74
1660,15471981.62
1661,14664316.54
1662,15395610.93
1663,14582826
1664,11010001.85
1665,13215888.87
1666,9669335.241
1667,7914153.137
1668,6860422.68
1669,17641336.15
1670,9532124.029
1671,9573692.363
1672,17173639.48
1673,17403899.16
1674,17822698.43
1675,12244595.19
1676,20330487.74
1677,15169287.23
1678,22705062.71
1679,16730844.23
1680,24846830.21
1681,19351680.58
1682,14475813.95
1683,20957094.82
1684,11810394.72
1685,2276073.63
1686,6007801.022
1687,11194179.09
1688,16449108.84
1689,16833901.25
1690,15391977.87
1691,18498296.6
1692,17274885.01
1693,18937868.7
1694,15146922.3
1695,14119814
1696,16587796.72
1697,17250115.2
1698,19503244.86
1699,19199809.51
1700,13800266.46
1701,21037517.28
1702,20192339.74
1703,15086456.71
1704,11220070.47
1705,16834663.24
1706,10488394.58
1707,10421149.04
1708,7974584.271
1709,13782098.57
1710,14548761.42
1711,15268817.05
1712,16283636.51
1713,13296189.65
1714,3676254.831
1715,15231856.76
1716,12767502.98
1717,11611148.35
1718,16696796.36
1719,20123272.51
1720,25271037.69
1721,16419664.24
1722,9302993.528
1723,11496185.95
1724,14833639.05
1725,18147007.19
1726,23997573.87
1727,20345212.44
1728,13470474.47
1729,10279029.21
1730,11991437.62
1731,12489999.3
1732,12967576.65
1733,15750870.96
1734,22214353.37
1735,5544886.98
1736,6762472.118
1737,9841555.932
1738,15396753.45
1739,16799321.85
1740,10610244.35
1741,17054158.89
1742,15165440.97
1743,17883462.66
1744,11562327.62
1745,17739653.03
1746,20093003.39
1747,22399236.14
1748,9533283.479
1749,17976759.57
1750,11292882.92
1751,16295167.12
1752,11631044
1753,19531362.64
1754,16484042.85
1755,13397890.97
1756,7039534.075
1757,7592692.013
1758,14451066.28
1759,11114592.66
1760,16741462.42
1761,18624359.86
1762,19775331.17
1763,10091548.85
1764,19703487.17
1765,9856396.166
1766,15702379.27
1767,12398979.22
1768,22505649.53
1769,20893329.13
1770,15652954.76
1771,19485597.09
1772,12604587.59
1773,7621938.036
1774,12050207.35
1775,15039515.88
1776,12036464.39
1777,9966057.996
1778,8415541.943
1779,13096297.82
1780,8649667.288
1781,10703643.53
1782,8236086.182
1783,12970460.81
1784,19374959.2
1785,17579170.53
1786,11462746.84
1787,18705922.85
1788,14401969.27
1789,10585736.09
1790,22227871.92
1791,20774621.5
1792,21449308.59
1793,14675944.76
1794,13458704.42
1795,11904902.31
1796,16745023.56
1797,21539098.61
1798,6594924.196
1799,18046584.99
1800,14585077.26
1801,10923499.04
1802,16607848.08
1803,12316385.83
1804,9604468.551
1805,9164040.459
1806,10941722.91
1807,15042639.85
1808,15118984.49
1809,11096331.76
1810,14419278.47
1811,20792370.69
1812,16453428.8
1813,12639661.34
1814,10886060.83
1815,16040849.08
1816,17976236.97
1817,16308402.93
1818,12195145.27
1819,14154627.73
1820,10237202.78
1821,16205905.16
1822,10988625.68
1823,14879638.92
1824,6381748.764
1825,11602480.09
1826,16319399.36
1827,13700326.69
1828,21518543.73
1829,9926217.386
1830,13897930.14
1831,15627351.05
1832,20455243.1
1833,15183697.09
1834,9973968.86
1835,12682103.74
1836,15644427.51
1837,22448861.51
1838,23636651.82
1839,24018743.51
1840,23597832.94
1841,24661186.43
1842,13663039.94
1843,20925643.65
1844,18308233.16
1845,4436806.076
1846,5823559.758
1847,3634895.834
1848,10342409.02
1849,23405966.61
1850,19595371.19
1851,4449910.052
1852,14564303.37
1853,19307641.48
1854,15253300.14
1855,6610763.046
1856,14442452.72
1857,13901650.46
1858,16952651.89
1859,16290500.86
1860,18009060.08
1861,4679879.251
1862,21828927.33
1863,11469694.5
1864,14040458.75
1865,16062959.02
1866,23859419.29
1867,25422988.21
1868,21100703.16
1869,17855281.31
1870,15806401.65
1871,8438413.313
1872,18658945.74
1873,14087525.08
1874,12532869.92
1875,13057274.9
1876,13852601.4
1877,12536334.17
1878,14353694.76
1879,6063126.458
1880,11899545.89
1881,12997846.39
1882,10465377.69
1883,11134586.01
1884,17597036.22
1885,18286933.16
1886,14751583.2
1887,7534296.842
1888,11263249.06
1889,8213066.032
1890,14505758.92
1891,16133255.87
1892,14976810.23
1893,10668243.79
1894,12228204.45
1895,17993778.45
1896,7895906.077
1897,17683751.4
1898,14856609.96
1899,10514318.86
1900,11533698.8
1901,13016377.5
1902,2652806.596
1903,14776986.65
1904,11003533.15
1905,16914595.6
1906,19181708.77
1907,19399479.61
1908,11835211.93
1909,18725994.51
1910,14022793.53
1911,18072325.2
1912,17971510.89
1913,15516553.74
1914,21413693.13
1915,14778291.49
1916,17005637.29
1917,20757351.54
1918,16203872.95
1919,13295777.32
1920,19869190.74
1921,22321827.04
1922,15082596.86
1923,18046470
1924,18217392.1
1925,13011311.08
1926,17908931.8
1927,18209440.06
1928,18203624.92
1929,18753212.3
1930,15911992.14
1931,13449117.88
1932,18428755.89
1933,13582820.63
1934,6282873.682
1935,12480859.01
1936,11296347.39
1937,13894447.05
1938,16333720.03
1939,12295276.23
1940,10912637.84
1941,18001908.07
1942,20414147.08
1943,14817944.84
1944,13798930.67
1945,13027638.46
1946,8639097.842
1947,16667047.79
1948,14530272.95
1949,19546146.31
1950,13895181.95
1951,12257817.29
1952,20042190.98
1953,11222457.24
1954,6640049.465
1955,12674439.98
1956,9708828.899
1957,19483682.27
1958,14876463.3
1959,8374222.974
1960,12928924.9
1961,8411795.299
1962,18426194.44
1963,10943811.95
1964,10223510.91
1965,16668139.15
1966,11672854.91
1967,12730951.2
1968,10652750.27
1969,15681454.94
1970,15988126.74
1971,14061038.49
1972,12569248.52
1973,20234036.8
1974,14713700.2
1975,17391339.65
1976,11879063.21
1977,4290667.978
1978,15076984.09
1979,18036379.81
1980,15946305.09
1981,10184878.21
1982,17063201.45
1983,22912137.34
1984,21526994.53
1985,22433536.24
1986,22007244.47
1987,19128511.54
1988,13837854.39
1989,13308613.34
1990,10182149.75
1991,16633856.91
1992,12825135.17
1993,17634000.44
1994,12032202.72
1995,18556931.3
1996,16312291.82
1997,18253751.38
1998,17826732.18
